judge_model_name,criterion,locale,original_instance_id_with_locale,original_instance_id,acc_eq_prompt,group_mean,abs_deviation_from_group_mean,is_unstable_abs_dev_gt_threshold
AyaExpanse-32B,coherence,ar_EG,f41fcb5561abc3e4c98c32d80bd0ac2e_with_ar_EG,f41fcb5561abc3e4c98c32d80bd0ac2e,0.25833333333333336,0.5679347826086957,0.3096014492753623,True
AyaExpanse-32B,coherence,ar_EG,fb2c387e7e5272a43305940219116463_with_ar_EG,fb2c387e7e5272a43305940219116463,0.23333333333333334,0.5679347826086957,0.33460144927536234,True
AyaExpanse-32B,coherence,ar_EG,fd3d2779b04a00f64e86ebda4403eb34_with_ar_EG,fd3d2779b04a00f64e86ebda4403eb34,0.55,0.5679347826086957,0.017934782608695632,False
AyaExpanse-32B,coherence,ar_EG,fdefc09bc79c168c6ee59c351ac5db78_with_ar_EG,fdefc09bc79c168c6ee59c351ac5db78,0.4,0.5679347826086957,0.16793478260869565,True
AyaExpanse-32B,coherence,bn_BD,0a3da1ceeb83f664b813bb28f001d766_with_bn_BD,0a3da1ceeb83f664b813bb28f001d766,0.39166666666666666,0.43822463768115943,0.04655797101449277,False
AyaExpanse-32B,coherence,bn_BD,104373856e995a074579797ebe34fcb2_with_bn_BD,104373856e995a074579797ebe34fcb2,0.3416666666666667,0.43822463768115943,0.09655797101449276,False
AyaExpanse-32B,coherence,bn_BD,12f396cdef01341d9b307c7048b8d77a_with_bn_BD,12f396cdef01341d9b307c7048b8d77a,0.36666666666666664,0.43822463768115943,0.0715579710144928,False
AyaExpanse-32B,coherence,bn_BD,13ae1b97872d056d111cbf8dfd1617c2_with_bn_BD,13ae1b97872d056d111cbf8dfd1617c2,0.43333333333333335,0.43822463768115943,0.0048913043478260865,False
AyaExpanse-32B,coherence,bn_BD,14e076d13751e87d8c09f7f13125e755_with_bn_BD,14e076d13751e87d8c09f7f13125e755,0.4166666666666667,0.43822463768115943,0.02155797101449275,False
AyaExpanse-32B,coherence,bn_BD,169c53c4e9f905b5a1579bb2c89f80b4_with_bn_BD,169c53c4e9f905b5a1579bb2c89f80b4,0.48333333333333334,0.43822463768115943,0.0451086956521739,False
AyaExpanse-32B,coherence,bn_BD,170d490a7ae53347e8fe3eabe4e28001_with_bn_BD,170d490a7ae53347e8fe3eabe4e28001,0.6166666666666667,0.43822463768115943,0.17844202898550726,True
AyaExpanse-32B,coherence,bn_BD,177682e7e6b3b0b5e4ad47b2fcaa4451_with_bn_BD,177682e7e6b3b0b5e4ad47b2fcaa4451,0.275,0.43822463768115943,0.1632246376811594,True
AyaExpanse-32B,coherence,bn_BD,22645d3694ea307a2d88a0b1669a4550_with_bn_BD,22645d3694ea307a2d88a0b1669a4550,0.4166666666666667,0.43822463768115943,0.02155797101449275,False
AyaExpanse-32B,coherence,bn_BD,24223944994a18d516282ccef47ac54d_with_bn_BD,24223944994a18d516282ccef47ac54d,0.35,0.43822463768115943,0.08822463768115946,False
AyaExpanse-32B,coherence,bn_BD,25206396b6f90a56a632de9594cfa279_with_bn_BD,25206396b6f90a56a632de9594cfa279,0.4083333333333333,0.43822463768115943,0.02989130434782611,False
AyaExpanse-32B,coherence,bn_BD,34ff7b0c7d176187b5f56965bc072870_with_bn_BD,34ff7b0c7d176187b5f56965bc072870,0.43333333333333335,0.43822463768115943,0.0048913043478260865,False
AyaExpanse-32B,coherence,bn_BD,362fcdcfe450161abe0dfc24f108c8a9_with_bn_BD,362fcdcfe450161abe0dfc24f108c8a9,0.6583333333333333,0.43822463768115943,0.2201086956521739,True
AyaExpanse-32B,coherence,bn_BD,38b0d67f9db7712c2c589f4ced8943f1_with_bn_BD,38b0d67f9db7712c2c589f4ced8943f1,0.35833333333333334,0.43822463768115943,0.0798913043478261,False
AyaExpanse-32B,coherence,bn_BD,44ea53138d50a0f07b1fb8d5fa927a6d_with_bn_BD,44ea53138d50a0f07b1fb8d5fa927a6d,0.7666666666666667,0.43822463768115943,0.3284420289855073,True
AyaExpanse-32B,coherence,bn_BD,453dbf627af720e73ca10e171bd55725_with_bn_BD,453dbf627af720e73ca10e171bd55725,0.425,0.43822463768115943,0.013224637681159446,False
AyaExpanse-32B,coherence,bn_BD,619fdd90dcf02a109782351e726f434d_with_bn_BD,619fdd90dcf02a109782351e726f434d,0.5666666666666667,0.43822463768115943,0.12844202898550722,True
AyaExpanse-32B,coherence,bn_BD,63d411be4c5a409e108fbdce6e3f8689_with_bn_BD,63d411be4c5a409e108fbdce6e3f8689,0.6,0.43822463768115943,0.16177536231884054,True
AyaExpanse-32B,coherence,bn_BD,6caeb46fd20a0b0f5a9f74da715d8b77_with_bn_BD,6caeb46fd20a0b0f5a9f74da715d8b77,0.3416666666666667,0.43822463768115943,0.09655797101449276,False
AyaExpanse-32B,coherence,bn_BD,729ece24c8d479efaf9f43a78bcdf42f_with_bn_BD,729ece24c8d479efaf9f43a78bcdf42f,0.4083333333333333,0.43822463768115943,0.02989130434782611,False
AyaExpanse-32B,coherence,bn_BD,7a80c8edbaf9cffb15d2a71bb2427672_with_bn_BD,7a80c8edbaf9cffb15d2a71bb2427672,0.4583333333333333,0.43822463768115943,0.02010869565217388,False
AyaExpanse-32B,coherence,bn_BD,7ce9fab7d8a5d11cac47de7ded5fb87c_with_bn_BD,7ce9fab7d8a5d11cac47de7ded5fb87c,0.36666666666666664,0.43822463768115943,0.0715579710144928,False
AyaExpanse-32B,coherence,bn_BD,9071b005524e4661f6718fe829648c22_with_bn_BD,9071b005524e4661f6718fe829648c22,0.5166666666666667,0.43822463768115943,0.07844202898550728,False
AyaExpanse-32B,coherence,bn_BD,941c034555e30f65555a5ce841836317_with_bn_BD,941c034555e30f65555a5ce841836317,0.5166666666666667,0.43822463768115943,0.07844202898550728,False
AyaExpanse-32B,coherence,bn_BD,95641032115fac92e1ea4efa811faae8_with_bn_BD,95641032115fac92e1ea4efa811faae8,0.3416666666666667,0.43822463768115943,0.09655797101449276,False
AyaExpanse-32B,coherence,bn_BD,9721721aee5763207020928a6be3d9b1_with_bn_BD,9721721aee5763207020928a6be3d9b1,0.48333333333333334,0.43822463768115943,0.0451086956521739,False
AyaExpanse-32B,coherence,bn_BD,a87d8ce85c5e14f8054f86aaa36f49ad_with_bn_BD,a87d8ce85c5e14f8054f86aaa36f49ad,0.4,0.43822463768115943,0.03822463768115941,False
AyaExpanse-32B,coherence,bn_BD,a8de3aee209e73291020dfca4bc9547d_with_bn_BD,a8de3aee209e73291020dfca4bc9547d,0.3,0.43822463768115943,0.13822463768115945,True
AyaExpanse-32B,coherence,bn_BD,aec42313c4c01a4d1e2240d54ab41992_with_bn_BD,aec42313c4c01a4d1e2240d54ab41992,0.475,0.43822463768115943,0.03677536231884054,False
AyaExpanse-32B,coherence,bn_BD,b15d69d9ac2994c645e9c261a9036af5_with_bn_BD,b15d69d9ac2994c645e9c261a9036af5,0.44166666666666665,0.43822463768115943,0.0034420289855072173,False
AyaExpanse-32B,coherence,bn_BD,b400d942abc879906d5d2e7cbf1445b5_with_bn_BD,b400d942abc879906d5d2e7cbf1445b5,0.25,0.43822463768115943,0.18822463768115943,True
AyaExpanse-32B,coherence,bn_BD,b9b10ffcbee1477b164fd32d4ef7fb40_with_bn_BD,b9b10ffcbee1477b164fd32d4ef7fb40,0.5,0.43822463768115943,0.061775362318840565,False
AyaExpanse-32B,coherence,bn_BD,c145f96bc4b6c5d0d18e06e89cb629bd_with_bn_BD,c145f96bc4b6c5d0d18e06e89cb629bd,0.5083333333333333,0.43822463768115943,0.07010869565217387,False
AyaExpanse-32B,coherence,bn_BD,c78e58efb81dc261314dbe9683046b8a_with_bn_BD,c78e58efb81dc261314dbe9683046b8a,0.4666666666666667,0.43822463768115943,0.02844202898550724,False
AyaExpanse-32B,coherence,bn_BD,cb75a2b7d6041b0ce85ec4218fe2f5e0_with_bn_BD,cb75a2b7d6041b0ce85ec4218fe2f5e0,0.5583333333333333,0.43822463768115943,0.12010869565217391,True
AyaExpanse-32B,coherence,bn_BD,d48c3ed115b970b0947d892881d35aa9_with_bn_BD,d48c3ed115b970b0947d892881d35aa9,0.38333333333333336,0.43822463768115943,0.054891304347826075,False
AyaExpanse-32B,coherence,bn_BD,df85068ad8d348d04f95ee17882f0da4_with_bn_BD,df85068ad8d348d04f95ee17882f0da4,0.4166666666666667,0.43822463768115943,0.02155797101449275,False
AyaExpanse-32B,coherence,bn_BD,dff06d843446af8648fc9ff9afacb718_with_bn_BD,dff06d843446af8648fc9ff9afacb718,0.6166666666666667,0.43822463768115943,0.17844202898550726,True
AyaExpanse-32B,coherence,bn_BD,e164924261a2ff3dddb8d1e0b4e5fdb6_with_bn_BD,e164924261a2ff3dddb8d1e0b4e5fdb6,0.36666666666666664,0.43822463768115943,0.0715579710144928,False
AyaExpanse-32B,coherence,bn_BD,e4c27cfc2c87eba9a17d237c0988dcbd_with_bn_BD,e4c27cfc2c87eba9a17d237c0988dcbd,0.49166666666666664,0.43822463768115943,0.053442028985507206,False
AyaExpanse-32B,coherence,bn_BD,e91353a8c4dde03994b2cbfb5521172e_with_bn_BD,e91353a8c4dde03994b2cbfb5521172e,0.43333333333333335,0.43822463768115943,0.0048913043478260865,False
AyaExpanse-32B,coherence,bn_BD,f188e8e224ad837ca63d8472c69cf931_with_bn_BD,f188e8e224ad837ca63d8472c69cf931,0.3333333333333333,0.43822463768115943,0.10489130434782612,True
AyaExpanse-32B,coherence,bn_BD,f41fcb5561abc3e4c98c32d80bd0ac2e_with_bn_BD,f41fcb5561abc3e4c98c32d80bd0ac2e,0.5,0.43822463768115943,0.061775362318840565,False
AyaExpanse-32B,coherence,bn_BD,fb2c387e7e5272a43305940219116463_with_bn_BD,fb2c387e7e5272a43305940219116463,0.4083333333333333,0.43822463768115943,0.02989130434782611,False
AyaExpanse-32B,coherence,bn_BD,fd3d2779b04a00f64e86ebda4403eb34_with_bn_BD,fd3d2779b04a00f64e86ebda4403eb34,0.2833333333333333,0.43822463768115943,0.1548913043478261,True
AyaExpanse-32B,coherence,bn_BD,fdefc09bc79c168c6ee59c351ac5db78_with_bn_BD,fdefc09bc79c168c6ee59c351ac5db78,0.2833333333333333,0.43822463768115943,0.1548913043478261,True
AyaExpanse-32B,coherence,cs_CZ,0a3da1ceeb83f664b813bb28f001d766_with_cs_CZ,0a3da1ceeb83f664b813bb28f001d766,0.2916666666666667,0.415036231884058,0.12336956521739134,True
AyaExpanse-32B,coherence,cs_CZ,104373856e995a074579797ebe34fcb2_with_cs_CZ,104373856e995a074579797ebe34fcb2,0.375,0.415036231884058,0.04003623188405803,False
AyaExpanse-32B,coherence,cs_CZ,12f396cdef01341d9b307c7048b8d77a_with_cs_CZ,12f396cdef01341d9b307c7048b8d77a,0.30833333333333335,0.415036231884058,0.10670289855072468,True
AyaExpanse-32B,coherence,cs_CZ,13ae1b97872d056d111cbf8dfd1617c2_with_cs_CZ,13ae1b97872d056d111cbf8dfd1617c2,0.6333333333333333,0.415036231884058,0.21829710144927528,True
AyaExpanse-32B,coherence,cs_CZ,14e076d13751e87d8c09f7f13125e755_with_cs_CZ,14e076d13751e87d8c09f7f13125e755,0.19166666666666668,0.415036231884058,0.22336956521739135,True
AyaExpanse-32B,coherence,cs_CZ,169c53c4e9f905b5a1579bb2c89f80b4_with_cs_CZ,169c53c4e9f905b5a1579bb2c89f80b4,0.35,0.415036231884058,0.06503623188405805,False
AyaExpanse-32B,coherence,cs_CZ,170d490a7ae53347e8fe3eabe4e28001_with_cs_CZ,170d490a7ae53347e8fe3eabe4e28001,0.45,0.415036231884058,0.034963768115941984,False
AyaExpanse-32B,coherence,cs_CZ,177682e7e6b3b0b5e4ad47b2fcaa4451_with_cs_CZ,177682e7e6b3b0b5e4ad47b2fcaa4451,0.36666666666666664,0.415036231884058,0.048369565217391386,False
AyaExpanse-32B,coherence,cs_CZ,22645d3694ea307a2d88a0b1669a4550_with_cs_CZ,22645d3694ea307a2d88a0b1669a4550,0.4583333333333333,0.415036231884058,0.04329710144927529,False
AyaExpanse-32B,coherence,cs_CZ,24223944994a18d516282ccef47ac54d_with_cs_CZ,24223944994a18d516282ccef47ac54d,0.39166666666666666,0.415036231884058,0.023369565217391364,False
AyaExpanse-32B,coherence,cs_CZ,25206396b6f90a56a632de9594cfa279_with_cs_CZ,25206396b6f90a56a632de9594cfa279,0.325,0.415036231884058,0.09003623188405802,False
AyaExpanse-32B,coherence,cs_CZ,34ff7b0c7d176187b5f56965bc072870_with_cs_CZ,34ff7b0c7d176187b5f56965bc072870,0.2833333333333333,0.415036231884058,0.1317028985507247,True
AyaExpanse-32B,coherence,cs_CZ,362fcdcfe450161abe0dfc24f108c8a9_with_cs_CZ,362fcdcfe450161abe0dfc24f108c8a9,0.5833333333333334,0.415036231884058,0.16829710144927534,True
AyaExpanse-32B,coherence,cs_CZ,38b0d67f9db7712c2c589f4ced8943f1_with_cs_CZ,38b0d67f9db7712c2c589f4ced8943f1,0.25833333333333336,0.415036231884058,0.15670289855072467,True
AyaExpanse-32B,coherence,cs_CZ,44ea53138d50a0f07b1fb8d5fa927a6d_with_cs_CZ,44ea53138d50a0f07b1fb8d5fa927a6d,0.5416666666666666,0.415036231884058,0.1266304347826086,True
AyaExpanse-32B,coherence,cs_CZ,453dbf627af720e73ca10e171bd55725_with_cs_CZ,453dbf627af720e73ca10e171bd55725,0.5833333333333334,0.415036231884058,0.16829710144927534,True
AyaExpanse-32B,coherence,cs_CZ,619fdd90dcf02a109782351e726f434d_with_cs_CZ,619fdd90dcf02a109782351e726f434d,0.225,0.415036231884058,0.19003623188405802,True
AyaExpanse-32B,coherence,cs_CZ,63d411be4c5a409e108fbdce6e3f8689_with_cs_CZ,63d411be4c5a409e108fbdce6e3f8689,0.425,0.415036231884058,0.009963768115941962,False
AyaExpanse-32B,coherence,cs_CZ,6caeb46fd20a0b0f5a9f74da715d8b77_with_cs_CZ,6caeb46fd20a0b0f5a9f74da715d8b77,0.5583333333333333,0.415036231884058,0.14329710144927532,True
AyaExpanse-32B,coherence,cs_CZ,729ece24c8d479efaf9f43a78bcdf42f_with_cs_CZ,729ece24c8d479efaf9f43a78bcdf42f,0.4666666666666667,0.415036231884058,0.05163043478260865,False
AyaExpanse-32B,coherence,cs_CZ,7a80c8edbaf9cffb15d2a71bb2427672_with_cs_CZ,7a80c8edbaf9cffb15d2a71bb2427672,0.575,0.415036231884058,0.15996376811594193,True
AyaExpanse-32B,coherence,cs_CZ,7ce9fab7d8a5d11cac47de7ded5fb87c_with_cs_CZ,7ce9fab7d8a5d11cac47de7ded5fb87c,0.375,0.415036231884058,0.04003623188405803,False
AyaExpanse-32B,coherence,cs_CZ,9071b005524e4661f6718fe829648c22_with_cs_CZ,9071b005524e4661f6718fe829648c22,0.5,0.415036231884058,0.08496376811594197,False
AyaExpanse-32B,coherence,cs_CZ,941c034555e30f65555a5ce841836317_with_cs_CZ,941c034555e30f65555a5ce841836317,0.5416666666666666,0.415036231884058,0.1266304347826086,True
AyaExpanse-32B,coherence,cs_CZ,95641032115fac92e1ea4efa811faae8_with_cs_CZ,95641032115fac92e1ea4efa811faae8,0.36666666666666664,0.415036231884058,0.048369565217391386,False
AyaExpanse-32B,coherence,cs_CZ,9721721aee5763207020928a6be3d9b1_with_cs_CZ,9721721aee5763207020928a6be3d9b1,0.4,0.415036231884058,0.015036231884058004,False
